Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
Wii Sports,Wii,2006,Sports,Nintendo,41.36,28.96,3.77,8.45,76,51,8,324,E
Super Mario Bros.,NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,,,,,
Mario Kart Wii,Wii,2008,Racing,Nintendo,15.68,12.8,3.79,3.29,82,73,8.3,712,E
Wii Sports Resort,Wii,2009,Sports,Nintendo,15.61,10.95,3.28,2.95,80,73,8,193,E
Pokemon Red/Pokemon Blue,G,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1,,,,,
Tetris,G,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,,,,,
New Super Mario Bros.,DS,2006,Platform,Nintendo,11.28,9.15,6.5,2.88,89,65,8.5,433,E
Wii Play,Wii,2006,Misc,Nintendo,13.96,9.18,2.93,2.84,58,41,6.6,129,E
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.48,6.95,4.7,2.25,87,80,8.4,595,E
Duck Hunt,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,,,,,
Nintendogs,DS,2005,Simulation,Nintendo,9.05,10.95,1.93,2.74,,,,,
Mario Kart DS,DS,2005,Racing,Nintendo,9.71,7.48,4.13,1.9,91,64,8.6,465,E
Pokemon Gold/Pokemon Silver,G,1999,Role-Playing,Nintendo,9,6.18,7.2,0.71,,,,,
Wii Fit,Wii,2007,Sports,Nintendo,8.92,8.03,3.6,2.15,80,63,7.7,146,E
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,15.02,4.91,0.24,1.69,61,45,6.3,106,E
Wii Fit Plus,Wii,2009,Sports,Nintendo,9.01,8.49,2.53,1.77,80,33,7.4,52,E
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.02,9.14,0.98,3.97,97,50,8.2,4009,M
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,95,80,9,1606,M
Super Mario World,SNES,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,,,,,
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.74,9.2,4.16,2.04,77,58,7.9,50,E
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6.38,4.46,6.04,1.36,,,,,
Super Mario Land,G,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,,,,,
Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,,,,,
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.66,5.17,0.06,1.41,97,58,8.1,3722,M
Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,95,62,8.7,736,M
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,,,,,
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.43,5.35,5.32,1.18,77,37,7.1,19,E
