,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,Global_Sales
0,Wii Sports,Wii,2006.0,Sports,Nintendo,41.36,28.96,3.77,8.45,76.0,51.0,8.0,324.0,E,82.53999999999999
1,Mario Kart Wii,Wii,2008.0,Racing,Nintendo,15.68,12.8,3.79,3.29,82.0,73.0,8.3,712.0,E,35.56
2,Wii Sports Resort,Wii,2009.0,Sports,Nintendo,15.61,10.95,3.28,2.95,80.0,73.0,8.0,193.0,E,32.79
3,New Super Mario Bros.,DS,2006.0,Platform,Nintendo,11.28,9.15,6.5,2.88,89.0,65.0,8.5,433.0,E,29.81
4,Wii Play,Wii,2006.0,Misc,Nintendo,13.96,9.18,2.93,2.84,58.0,41.0,6.6,129.0,E,28.91
5,New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,14.48,6.95,4.7,2.25,87.0,80.0,8.4,595.0,E,28.38
6,Mario Kart DS,DS,2005.0,Racing,Nintendo,9.71,7.48,4.13,1.9,91.0,64.0,8.6,465.0,E,23.22
7,Wii Fit,Wii,2007.0,Sports,Nintendo,8.92,8.03,3.6,2.15,80.0,63.0,7.7,146.0,E,22.7
8,Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,15.02,4.91,0.24,1.69,61.0,45.0,6.3,106.0,E,21.86
9,Wii Fit Plus,Wii,2009.0,Sports,Nintendo,9.01,8.49,2.53,1.77,80.0,33.0,7.4,52.0,E,21.8
10,Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,7.02,9.14,0.98,3.97,97.0,50.0,8.2,4009.0,M,21.11
11,Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,95.0,80.0,9.0,1606.0,M,20.810000000000002
12,Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,4.74,9.2,4.16,2.04,77.0,58.0,7.9,50.0,E,20.14
13,Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive,9.66,5.17,0.06,1.41,97.0,58.0,8.1,3722.0,M,16.3
14,Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,95.0,62.0,8.7,736.0,M,16.150000000000002
15,Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo,3.43,5.35,5.32,1.18,77.0,37.0,7.1,19.0,E,15.28
16,Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,95.0,54.0,8.4,314.0,E,14.969999999999999
17,Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,9.06,4.26,0.13,1.33,88.0,81.0,3.4,8715.0,M,14.780000000000001
18,Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,9.73,3.7,0.11,1.13,87.0,89.0,6.3,1456.0,M,14.669999999999998
19,Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,4.99,5.73,0.65,2.42,83.0,21.0,5.3,921.0,M,13.790000000000001
20,Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision,8.25,4.26,0.07,1.12,83.0,73.0,4.8,2261.0,M,13.7
21,Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,8.52,3.6,0.08,1.28,94.0,100.0,6.3,2702.0,M,13.479999999999999
22,Grand Theft Auto V,PS4,2014.0,Action,Take-Two Interactive,4.12,6.77,0.39,2.08,97.0,66.0,8.3,2955.0,M,13.360000000000001
23,Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,5.54,5.73,0.49,1.57,88.0,39.0,3.2,5237.0,M,13.33
24,Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,97.0,56.0,8.5,667.0,M,13.100000000000001
25,Mario Kart 7,3DS,2011.0,Racing,Nintendo,5.2,4.19,2.7,0.94,85.0,73.0,8.2,633.0,E,13.03
26,Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo,6.64,2.56,2.66,1.01,93.0,81.0,8.9,1667.0,T,12.87
27,Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,6.0,4.37,0.48,1.8,88.0,58.0,6.4,1095.0,M,12.650000000000002
28,Animal Crossing: Wild World,DS,2005.0,Simulation,Nintendo,2.5,3.45,5.33,0.86,86.0,57.0,8.6,243.0,E,12.14
29,Halo 3,X360,2007.0,Shooter,Microsoft Game Studios,7.97,2.81,0.13,1.21,94.0,86.0,7.8,4109.0,M,12.120000000000001
30,Gran Turismo 4,PS2,2004.0,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,89.0,74.0,8.5,273.0,E,11.649999999999999
31,Super Mario Galaxy,Wii,2007.0,Platform,Nintendo,6.06,3.36,1.2,0.74,97.0,73.0,8.9,2159.0,E,11.36
